epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.27111,0.96089,1.58134,0.0,0.15836,0.0002999,25.9,0.2227,0.0319,0.0729,0.2073,0.4104,0.0949,0.0684
2,A,0.98987,0.92107,1.05868,0.0,,0.0002997,25.4,,,,,,,
3,A,0.84212,0.88592,0.79833,0.0,,0.0002993,25.4,,,,,,,
4,A,0.71767,0.82781,0.60753,0.0,,0.0002988,25.4,,,,,,,
5,A,0.59334,0.72483,0.46186,0.0,0.62339,0.0002982,25.3,0.6628,0.5868,0.8387,0.7158,0.7709,0.379,0.4097
6,A,0.46773,0.57403,0.36143,0.0,,0.0002973,25.3,,,,,,,
7,A,0.38126,0.44553,0.31699,0.0,,0.0002964,25.5,,,,,,,
8,A,0.32255,0.36731,0.27779,0.0,,0.0002953,25.3,,,,,,,
9,A,0.28209,0.3145,0.24969,0.0,,0.000294,25.2,,,,,,,
10,A,0.25537,0.28532,0.22543,0.0,0.71745,0.0002927,25.4,0.8173,0.6357,0.9008,0.7358,0.8601,0.5367,0.5357
11,A,0.23561,0.26295,0.20827,0.0,,0.0002911,25.4,,,,,,,
12,A,0.22017,0.243,0.19734,0.0,,0.0002895,25.2,,,,,,,
13,A,0.20253,0.22805,0.17701,0.0,,0.0002877,25.4,,,,,,,
14,A,0.1938,0.21902,0.16858,0.0,,0.0002857,25.4,,,,,,,
15,A,0.18117,0.20597,0.15638,0.0,0.72804,0.0002837,25.7,0.815,0.6668,0.9267,0.6667,0.8484,0.5746,0.5982
16,A,0.17556,0.20052,0.1506,0.0,,0.0002814,26.1,,,,,,,
17,A,0.16979,0.19092,0.14865,0.0,,0.0002791,25.7,,,,,,,
18,A,0.15556,0.17783,0.13329,0.0,,0.0002766,26.4,,,,,,,
19,A,0.1537,0.17556,0.13184,0.0,,0.0002741,26.3,,,,,,,
20,A,0.14433,0.16622,0.12244,0.0,0.75748,0.0002714,26.4,0.8228,0.7845,0.9322,0.743,0.8242,0.5797,0.6159
21,B,24.30227,0.52424,0.72112,2367.95944,,0.0002685,25.8,,,,,,,
22,B,14.46646,0.41295,0.45397,1403.30048,,0.0002656,31.0,,,,,,,
23,B,12.71185,0.3706,0.39058,1233.12566,,0.0002625,33.0,,,,,,,
24,B,11.51417,0.34619,0.34939,1116.63778,,0.0002593,33.0,,,,,,,
25,B,10.56639,0.31759,0.31041,1025.23886,0.65127,0.0002561,33.0,0.7735,0.5385,0.8957,0.5482,0.7671,0.4625,0.5735
26,B,9.84492,0.30278,0.28654,955.0259,,0.0002527,33.2,,,,,,,
27,B,9.27359,0.2957,0.26585,899.28135,,0.0002492,33.0,,,,,,,
28,B,8.78859,0.28448,0.25901,851.68473,,0.0002456,32.9,,,,,,,
29,B,8.36797,0.27899,0.2473,810.48219,,0.0002419,33.1,,,,,,,
30,B,7.93969,0.28349,0.24131,767.72878,0.67547,0.0002382,33.0,0.7152,0.6665,0.8177,0.6366,0.82,0.5495,0.5229
31,B,6.52344,0.27314,0.24969,626.20276,,0.0002343,32.9,,,,,,,
32,B,5.98851,0.26975,0.24469,573.1292,,0.0002304,33.2,,,,,,,
33,B,5.57808,0.2709,0.24714,531.90581,,0.0002264,32.8,,,,,,,
34,B,5.28625,0.2588,0.22045,504.66231,,0.0002223,32.7,,,,,,,
35,B,5.07113,0.25667,0.22434,483.06247,0.69635,0.0002181,33.0,0.7711,0.5896,0.8923,0.6605,0.8289,0.5988,0.5333
36,B,4.86284,0.24629,0.2176,463.09015,,0.0002139,32.7,,,,,,,
37,B,4.68834,0.24478,0.20899,446.14548,,0.0002096,32.6,,,,,,,
38,B,4.53851,0.23356,0.19733,432.30705,,0.0002052,32.6,,,,,,,
39,B,4.41307,0.23003,0.1942,420.09512,,0.0002008,32.6,,,,,,,
40,B,6.09436,0.23304,0.20096,587.73614,0.7103,0.0001964,33.2,0.7704,0.6685,0.8543,0.7237,0.8224,0.6237,0.5091
41,B,4.77944,0.222,0.18667,457.51075,,0.0001918,33.4,,,,,,,
42,B,4.47023,0.21429,0.17852,427.38217,,0.0001873,33.2,,,,,,,
43,B,4.28827,0.21309,0.17256,409.54418,,0.0001827,32.7,,,,,,,
44,B,4.15413,0.20365,0.16624,396.91779,,0.0001781,33.0,,,,,,,
45,B,4.06047,0.20123,0.1616,387.90601,0.70793,0.0001735,33.0,0.7661,0.5963,0.811,0.7284,0.815,0.6587,0.58
46,B,3.97967,0.19539,0.15651,380.37203,,0.0001688,33.0,,,,,,,
47,B,3.90605,0.19159,0.15198,373.42621,,0.0001641,33.2,,,,,,,
48,B,3.83875,0.18648,0.14394,367.35437,,0.0001594,33.0,,,,,,,
49,B,3.78928,0.18462,0.14459,362.46793,,0.0001547,32.9,,,,,,,
50,B,9.74974,0.21072,0.20409,954.23394,0.71654,0.00015,33.1,0.7949,0.6416,0.8792,0.7328,0.8364,0.592,0.5388
51,B,5.62128,0.19137,0.15086,545.01695,,0.0001453,33.2,,,,,,,
52,B,5.12159,0.18462,0.14637,495.60967,,0.0001406,32.7,,,,,,,
53,B,4.85733,0.18745,0.14786,468.96804,,0.0001359,33.2,,,,,,,
54,B,4.68443,0.18437,0.14466,451.99189,,0.0001312,33.0,,,,,,,
55,B,4.55734,0.17455,0.13641,440.18574,0.73987,0.0001265,32.9,0.7824,0.687,0.9118,0.7554,0.8545,0.621,0.567
56,B,4.45776,0.17384,0.12939,430.61483,,0.0001219,32.9,,,,,,,
57,B,4.3802,0.16873,0.13056,423.05513,,0.0001173,32.9,,,,,,,
58,B,4.30424,0.16509,0.12429,415.95542,,0.0001127,32.9,,,,,,,
59,B,4.23996,0.16661,0.12411,409.46001,,0.0001082,27.3,,,,,,,
60,B,4.91412,0.15822,0.12172,477.41536,0.739,0.0001036,21.9,0.7949,0.7219,0.9066,0.7154,0.8364,0.6013,0.5965
61,B,4.15655,0.15852,0.11529,401.96471,,9.92e-05,22.2,,,,,,,
62,B,3.9871,0.15928,0.11877,384.80786,,9.48e-05,22.0,,,,,,,
63,B,3.90562,0.15982,0.12142,376.49976,,9.04e-05,22.1,,,,,,,
64,B,3.84825,0.15768,0.11797,371.04224,,8.61e-05,22.1,,,,,,,
65,B,3.80256,0.15645,0.1117,366.84906,0.7225,8.19e-05,22.1,0.7941,0.7258,0.9042,0.7286,0.8266,0.5482,0.53
66,B,3.76514,0.15182,0.11119,363.36315,,7.77e-05,22.1,,,,,,,
67,B,3.73735,0.15377,0.11007,360.54274,,7.36e-05,22.1,,,,,,,
68,B,3.70995,0.15019,0.10728,358.12132,,6.96e-05,22.1,,,,,,,
69,B,3.68326,0.14401,0.10648,355.80146,,6.57e-05,22.3,,,,,,,
70,B,4.04079,0.14848,0.10871,391.22,0.73072,6.18e-05,22.0,0.7919,0.6582,0.9107,0.769,0.8598,0.5759,0.5496
71,B,3.87944,0.14882,0.10689,375.15854,,5.81e-05,22.1,,,,,,,
72,B,3.81723,0.146,0.10558,369.14388,,5.44e-05,22.0,,,,,,,
73,B,3.77225,0.14526,0.10461,364.73199,,5.08e-05,22.2,,,,,,,
74,B,3.73623,0.14403,0.10356,361.24315,,4.73e-05,22.0,,,,,,,
75,B,3.70059,0.14152,0.10166,357.90028,0.73285,4.39e-05,22.2,0.8101,0.6737,0.8857,0.7341,0.8409,0.6074,0.5782
76,B,3.66866,0.13964,0.09841,354.96332,,4.07e-05,22.2,,,,,,,
77,B,3.63814,0.13877,0.09596,352.07764,,3.75e-05,22.0,,,,,,,
78,B,3.61399,0.1367,0.09615,349.75677,,3.44e-05,22.3,,,,,,,
79,B,3.59377,0.13782,0.096,347.68607,,3.15e-05,22.8,,,,,,,
80,B,4.71466,0.13908,0.09924,459.55024,0.74587,2.86e-05,22.5,0.8048,0.7014,0.9065,0.7561,0.8571,0.6126,0.5827
81,C,4.39226,0.13622,0.09365,427.7321,,2.59e-05,13.4,,,,,,,
82,C,4.38901,0.13394,0.09301,427.55399,,2.34e-05,13.4,,,,,,,
83,C,4.38937,0.13314,0.0917,427.69529,,2.09e-05,13.3,,,,,,,
84,C,4.38604,0.13177,0.08928,427.55196,,1.86e-05,13.3,,,,,,,
85,C,4.38756,0.1315,0.09064,427.64882,0.74536,1.63e-05,13.4,0.8157,0.6848,0.9098,0.7486,0.8532,0.6187,0.5867
86,C,4.38315,0.13056,0.08788,427.39244,,1.43e-05,13.6,,,,,,,
87,C,4.38639,0.13146,0.0896,427.58643,,1.23e-05,13.7,,,,,,,
88,C,4.3861,0.13057,0.08851,427.6559,,1.05e-05,13.6,,,,,,,
89,C,4.38723,0.1316,0.09009,427.63833,,8.9e-06,13.7,,,,,,,
90,C,4.38762,0.13183,0.08802,427.76935,0.74269,7.3e-06,13.8,0.8096,0.6871,0.9066,0.7553,0.8553,0.6108,0.5742
91,C,4.38478,0.12978,0.08925,427.52693,,6e-06,13.6,,,,,,,
92,C,4.38438,0.13152,0.0873,427.49741,,4.7e-06,13.8,,,,,,,
93,C,4.38494,0.13057,0.08791,427.57,,3.6e-06,13.6,,,,,,,
94,C,4.3835,0.12908,0.08809,427.49188,,2.7e-06,13.6,,,,,,,
95,C,4.38272,0.12853,0.08675,427.5084,0.74256,1.8e-06,13.4,0.8098,0.6842,0.9088,0.7472,0.8546,0.6107,0.5827
96,C,4.38479,0.1298,0.08734,427.62172,,1.2e-06,13.5,,,,,,,
97,C,4.38416,0.12938,0.08791,427.55145,,7e-07,13.4,,,,,,,
98,C,4.38658,0.12937,0.08832,427.77322,,3e-07,13.6,,,,,,,
99,C,4.38596,0.13077,0.08752,427.68184,,1e-07,13.6,,,,,,,
100,C,4.38525,0.12974,0.08722,427.67716,0.74376,0.0,13.3,0.8115,0.6849,0.9068,0.754,0.8551,0.6144,0.5795
