epoch,phase,pruned,w_L1,w_L2,w_L3,w_L4
5,A,[],0.1566,0.2603,0.2477,0.3354
10,A,[],0.1743,0.2607,0.2603,0.3047
15,A,[],0.1707,0.2649,0.2584,0.306
20,A,[],0.1677,0.2621,0.253,0.3172
25,B,[],0.1741,0.2719,0.2537,0.3004
30,B,[],0.1784,0.2906,0.2485,0.2825
35,B,[],0.0568,0.0077,0.8403,0.0951
40,B,[],0.0209,0.0019,0.9225,0.0547
45,B,[],0.0125,0.0017,0.8944,0.0915
50,B,[2],0.0149,0.0025,0.8069,0.1756
55,B,"[1, 2]",0.0178,0.0042,0.6872,0.2908
60,B,"[1, 2]",0.0186,0.0049,0.6005,0.376
65,B,"[1, 2]",0.0185,0.0052,0.5458,0.4305
70,B,"[1, 2]",0.0192,0.0057,0.5054,0.4697
75,B,"[1, 2]",0.0188,0.0055,0.5023,0.4735
80,B,"[1, 2]",0.0179,0.005,0.5185,0.4586
85,C,"[1, 2]",0.018,0.0048,0.564,0.4132
90,C,"[1, 2]",0.0179,0.0046,0.5831,0.3943
95,C,"[1, 2]",0.0179,0.0047,0.5788,0.3986
100,C,"[1, 2]",0.0178,0.0046,0.5756,0.4019
