epoch,phase,w_L1,w_L2,w_L3,w_L4,eff_w_L1,eff_w_L2,eff_w_L3,eff_w_L4
5,A,0.1703,0.3074,0.2933,0.2291,0.0,0.0,0.0,0.0
10,A,0.175,0.3033,0.2926,0.2291,0.0,0.0,0.0,0.0
15,A,0.1737,0.3015,0.2908,0.234,0.0,0.0,0.0,0.0
20,A,0.1773,0.3106,0.2825,0.2296,0.0,0.0,0.0,0.0
25,B,0.1906,0.3032,0.2684,0.2378,0.1884,0.3002,0.2741,0.2373
30,B,0.1844,0.3146,0.2663,0.2347,0.1879,0.3007,0.2745,0.2369
35,B,0.0216,0.3155,0.1704,0.4924,0.0292,0.2996,0.2149,0.4563
40,B,0.0064,0.3224,0.1077,0.5635,0.0092,0.3186,0.1275,0.5447
45,B,0.0032,0.2808,0.0972,0.6188,0.0043,0.2888,0.1104,0.5965
50,B,0.0015,0.2181,0.0647,0.7157,0.0021,0.2433,0.0673,0.6873
55,B,0.001,0.1677,0.0602,0.7711,0.0013,0.1927,0.0655,0.7404
60,B,0.0006,0.1428,0.0488,0.8077,0.0008,0.1564,0.0515,0.7913
65,B,0.0004,0.1188,0.0371,0.8437,0.0005,0.1351,0.0402,0.8241
70,B,0.0003,0.1066,0.0339,0.8591,0.0004,0.1176,0.0344,0.8476
75,B,0.0003,0.1052,0.034,0.8605,0.0004,0.1138,0.0333,0.8525
80,B,0.0003,0.0998,0.0333,0.8666,0.0003,0.1053,0.032,0.8623
85,C,0.0003,0.0986,0.0344,0.8667,0.0003,0.1065,0.0336,0.8596
90,C,0.0003,0.0996,0.0351,0.865,0.0003,0.107,0.0342,0.8585
95,C,0.0003,0.1006,0.0364,0.8627,0.0003,0.1084,0.0354,0.8558
100,C,0.0003,0.1011,0.0366,0.862,0.0003,0.1087,0.0356,0.8554
